CancerSite,DataType,StatisticType,Rate,ModeledRate,Year,RaceEthnicity,Sex,AgeRange,YearRange,
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,482.0446,482.8333,1990,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,503.0806,496.5156,1991,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,510.6656,510.5856,1992,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,493.4369,498.2227,1993,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,483.6033,486.1591,1994,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,477.1406,474.3877,1995,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,479.2995,479.5578,1996,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,486.5627,484.7842,1997,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,488.4639,490.0676,1998,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,490.6885,488.5121,1999,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,486.5249,486.9616,2000,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,490.1786,485.4161,2001,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,487.9868,483.8754,2002,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,475.6958,482.3396,2003,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,476.8498,480.8087,2004,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,472.8156,479.2827,2005,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,476.2449,477.7615,2006,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,482.1762,476.2451,2007,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,475.4988,474.7336,2008,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,473.6981,473.2268,2009,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,463.5595,463.6416,2010,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,457.5854,454.2505,2011,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
All Sites,"SEER Incidence per 100,000",Age-Adjusted Rates,442.8833,445.0497,2012,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,96.3035,97.2443,1975,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,98.6201,97.6805,1976,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,98.8119,98.1187,1977,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,97.4109,98.5588,1978,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,99.5257,99.0008,1979,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,99.9559,99.4449,1980,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,100.7391,99.891,1981,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,98.9011,100.339,1982,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,100.0767,100.7891,1983,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,101.2321,101.2412,1984,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,102.5626,101.6953,1985,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,100.0497,100.5063,1986,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,98.7187,99.3312,1987,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,97.4576,98.1698,1988,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,97.4502,97.022,1989,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,96.3562,95.8876,1990,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,96.1144,94.7665,1991,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,94.1214,93.6585,1992,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,92.5649,92.5635,1993,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,91.3288,91.4813,1994,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,89.2318,90.4117,1995,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,91.46,91.5594,1996,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,93.5404,92.7217,1997,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,94.2677,93.8987,1998,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,93.0827,93.0479,1999,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,91.1557,92.2048,2000,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,90.7782,91.3693,2001,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,91.4453,90.5414,2002,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,89.2106,89.721,2003,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,89.6374,88.908,2004,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,87.4148,88.1024,2005,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,87.1766,87.3041,2006,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,86.6491,86.5131,2007,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,86.0513,85.7292,2008,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,84.8893,84.2063,2009,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,81.7589,82.7104,2010,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,80.9054,81.2411,2011,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Digestive system,"SEER Incidence per 100,000",Age-Adjusted Rates,80.3355,79.7979,2012,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.1442,4.1469,1975,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.2974,4.1707,1976,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.058,4.1947,1977,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.1239,4.2189,1978,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.4186,4.2432,1979,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.2723,4.2676,1980,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.1403,4.2921,1981,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.2643,4.3168,1982,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.2898,4.3417,1983,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.1794,4.3667,1984,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.4518,4.3918,1985,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6358,4.4171,1986,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.5453,4.4425,1987,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.4324,4.468,1988,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.3988,4.4938,1989,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.8208,4.5196,1990,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.5555,4.5456,1991,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.5976,4.5718,1992,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6129,4.5981,1993,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.5016,4.6245,1994,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.359,4.6512,1995,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.7996,4.6779,1996,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6942,4.7048,1997,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.7263,4.7319,1998,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.9307,4.7591,1999,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.7768,4.7865,2000,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.8224,4.8141,2001,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6291,4.8418,2002,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6482,4.8696,2003,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,5.3095,4.8977,2004,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6289,4.8271,2005,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.7357,4.7576,2006,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.7066,4.689,2007,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6718,4.6215,2008,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.6251,4.5549,2009,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.4028,4.4892,2010,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.4547,4.4246,2011,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Esophagus,"SEER Incidence per 100,000",Age-Adjusted Rates,4.3512,4.3608,2012,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.6746,12.108,1975,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,12.212,11.9237,1976,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.5375,11.7422,1977,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.4881,11.5634,1978,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,12.0004,11.3874,1979,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.2876,11.214,1980,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,11.1384,11.0433,1981,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.9185,10.8752,1982,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.9451,10.7097,1983,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.5728,10.5467,1984,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.2172,10.3861,1985,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.2101,10.228,1986,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.1968,10.0723,1987,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.1936,9.919,1988,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,10.0039,9.768,1989,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.2738,9.6193,1990,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.7091,9.4729,1991,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.2025,9.3286,1992,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.0206,9.1866,1993,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,9.0147,9.0468,1994,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.3351,8.9091,1995,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.4898,8.7735,1996,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.6111,8.6399,1997,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.5826,8.5084,1998,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.5844,8.3789,1999,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,8.1111,8.2513,2000,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.7825,8.1257,2001,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.9697,8.002,2002,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.8063,7.8802,2003,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.9097,7.7602,2004,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.4791,7.6421,2005,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.5936,7.5258,2006,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.2859,7.4112,2007,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.2449,7.2984,2008,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.4323,7.1873,2009,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.0167,7.0779,2010,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.2444,6.9701,2011,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Stomach,"SEER Incidence per 100,000",Age-Adjusted Rates,7.0277,6.864,2012,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1155,1.032,1975,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0111,1.0566,1976,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0964,1.0817,1977,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,0.999,1.1075,1978,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0782,1.1338,1979,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1388,1.1608,1980,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.0447,1.1884,1981,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.1988,1.2167,1982,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2307,1.2457,1983,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2071,1.2753,1984,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2172,1.3056,1985,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.3317,1.3367,1986,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.4865,1.3685,1987,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5013,1.4011,1988,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5172,1.4344,1989,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.2971,1.4685,1990,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.7061,1.5035,1991,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.509,1.5392,1992,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.6676,1.5759,1993,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
Small intestine,"SEER Incidence per 100,000",Age-Adjusted Rates,1.5318,1.6134,1994,All (includes Hispanic),Both Sexes,All Ages,1975-2012 (SEER 9),
